state,fiscal_year,funds_awarded,ccdf_discretionary,ssbg_block_grant,adjusted_award,carryover,basic_assistance,basic_assistance_no_subsidies,basic_assistance_subsidies,other_assistance,other_assistance_foster,other_assistance_juvenile_justice,other_assistance_emergency,non_assistance,non_assistance_welfare_foster,non_assistance_juvenile_justice,non_assistance_emergency,work_ed,work_ed_subsidized_emp,work_ed_training,work_ed_other,work_supports,early_ed,early_ed_childcare,early_ed_prek,financial_ed,eitc_refundable,non_eitc_refundable,short_term_benefits,support__services,children_youth_services,pregnancy_prevention,fatherhood_programs,child_welfare,child_welfare_family,child_welfare_adoption,child_welfare_other,home_visiting,program_mgmt,program_mgmt_admin,program_mgmt_assessment,program_mgmt_systems,other,total_expenditures,fed_unliquidated,unobligated_balance
U.S. TOTAL,2022,16834221543,976162280.1,1136038280,14114020983,7549597278,7223024601,6691691775.13,531332826.12,659146924.14,381194931.92,15580749.25,262371242.98,646770421.96,527854149.57,48888064.00,70028208.39,2525813210.17,168019171.69,1016651202.08,1341142836.45,385048928.03,7120410516.87,3874418750.96,3245991765.91,2803316.56,2013635327.98,611639509.93,821958320.76,444504350.13,977385891.53,208961071.55,126604274.74,1890684314.44,942415317.93,41191675.91,907077320.62,151233850.72,3246197402.87,2037118839.47,975522215.74,233556347.74,174622858.62,29230445092.19,2501939748.33,6452791083.26
ALABAMA,2022,104087028,18601452,9300726,65105089,113337619,12846098,12846098.00,0.00,3871573.00,0.00,0.00,3871573.00,0.00,0.00,0.00,0.00,5211645.00,3049387.00,142398.00,2019860.00,1765123.00,44307605.00,6270067.00,38037538.00,0.00,0.00,0.00,46098645.00,416623.00,2101069.00,771841.00,4031284.00,22955401.00,0.00,0.00,22955401.00,1480081.00,22810495.00,6909089.00,15057226.00,844180.00,0.00,168667483.00,0.00,122706497.00
ALASKA,2022,44397466,8879493,4439746,31078227,22434168.56,31798737.25,31798737.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8749041.87,793485.89,56512.66,7899043.33,47731.71,3544811.00,3544811.00,0.00,0.00,0.00,0.00,333644.90,60.00,8283252.00,319652.22,0.00,0.00,0.00,0.00,0.00,0.00,6970174.31,6094556.19,0.00,875618.13,0.00,60047105.27,25302476.00,548810.21
ARIZONA,2022,223162288,0,19940731,179466582,52909932,35875329,14328966.00,21546363.00,10125086.00,10125086.00,0.00,0.00,0.00,0.00,0.00,0.00,583193.00,0.00,224399.00,358794.00,7798353.00,0.00,0.00,0.00,0.00,0.00,0.00,6273282.00,7155976.00,0.00,0.00,0.00,269388524.00,134317137.00,22560632.00,112510755.00,0.00,25812326.00,14054054.00,8118027.00,3640245.00,0.00,363012069.00,0.00,60367049.00
ARKANSAS,2022,63281802,0,0,56545640,120816530,3296711.5,3296711.50,0.00,0.00,0.00,0.00,0.00,3911035.23,0.00,0.00,3911035.23,18101925.07,380915.31,11083326.43,6637683.34,117436.82,37932000.00,0.00,37932000.00,0.00,0.00,0.00,1373856.52,556362.49,7053464.46,2390738.42,11749682.89,4352785.40,4228414.11,0.00,124371.29,0.00,25191389.81,17689809.50,2399943.12,5101637.21,0.00,116027388.62,36722295.36,65890269.38
CALIFORNIA,2022,3634264666,0,354741279,3279523387,544052693,2877765725,2719094005.98,158671718.71,244359540.00,0.00,0.00,244359540.00,0.00,0.00,0.00,0.00,1038053250.11,35667951.09,457408031.71,544977267.31,186525212.37,961176629.72,961176629.72,0.00,12354.34,0.00,0.00,374086.15,113755017.08,459244.93,20339731.49,2048243.65,0.00,0.00,0.00,0.00,47064409.00,908105069.82,649668531.67,192478931.10,65957607.05,0.00,6400038513.35,755209442.65,0.00
COLORADO,2022,151762363,1236265.14,152729.65,134218708.2,100115820,61445929.04,61445929.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5883100.87,844239.62,2843854.96,2195006.30,13893442.16,99763735.74,13786705.74,85977030.00,27647.89,65760271.00,5118908.00,5200697.22,3360312.84,786498.94,758612.85,716330.98,43052532.64,21201872.62,0.00,21850660.04,383081.34,90379276.02,33361781.49,37621786.31,19395708.23,0.00,396530377.55,0.00,107854245.16
CONNECTICUT,2022,265907706,26678810,0,239228896,0,24459923.86,24459923.86,0.00,0.00,0.00,0.00,0.00,17198898.20,0.00,0.00,17198898.20,10629569.94,0.00,10629569.94,0.00,0.00,144306797.60,58614845.20,85691952.40,0.00,76160939.54,0.00,0.00,19510070.03,0.00,37480553.25,16783020.31,75329602.29,75329602.29,0.00,0.00,0.00,103886656.66,35256825.36,57500601.16,11129230.14,0.00,525746031.68,0.00,0.00
DELAWARE,2022,36018484,0,0,32184421,44882606,7162661.18,7162661.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40039535.35,32215651.58,6933783.77,890100.00,0.00,56020812.40,56020812.40,0.00,0.00,0.00,0.00,1728277.67,33300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44306622.24,3222910.81,40268998.94,814712.49,0.00,149291208.84,0.00,20197391.16
DIST.OF COLUMBIA,2022,103300207,0,3922929,88381274,14853534.75,172834810.1,172834810.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33430634.84,0.00,0.00,33430634.84,0.00,40376358.13,22169365.00,18206993.13,0.00,18378227.28,0.00,14450946.28,1139715.19,0.00,219884.10,0.00,0.00,0.00,0.00,0.00,0.00,16886970.68,10905693.27,5124316.98,856960.43,0.00,297717546.58,3472949.00,31615829.54
FLORIDA,2022,560484398.3,82504485,42036330,435943583.3,100688517,117015816.9,62235958.03,54779858.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44643109.05,4256246.39,4991326.62,35395536.04,3707425.78,210277623.44,210277623.44,0.00,0.00,0.00,0.00,1084451.08,19539318.32,7000000.00,1112594.93,0.00,220557270.57,32832679.89,368724.91,187355865.77,0.00,47744149.09,45039601.71,0.00,2704547.38,0.00,672681759.15,0.00,221913852.88
GEORGIA,2022,329650291,0,1129965,328520326,158648483,85118800,28551778.00,56567022.00,29257388.00,29257388.00,0.00,0.00,0.00,0.00,0.00,0.00,5455548.00,5425325.00,15437.00,14786.00,52827.00,22182651.00,22182651.00,0.00,0.00,0.00,0.00,4079485.00,8266271.00,38978176.00,8006852.00,0.00,232565183.00,212720436.00,8959133.00,10885614.00,0.00,25783220.00,15885150.00,5602276.00,4295794.00,0.00,459746401.00,40812451.00,159978484.00
HAWAII,2022,98578402,19715680,9857840,69004882,405437245,33023311,33023311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44108444.00,164861.00,36070146.00,7873437.00,376760.00,9230102.00,9013710.00,216392.00,352943.00,0.00,0.00,9674508.00,23693505.00,4164975.00,9049792.00,491165.00,10879316.00,10794812.00,0.00,84504.00,3209066.00,21186361.00,9585419.00,7694962.00,3905980.00,0.00,169440248.00,19327468.00,402337994.00
IDAHO,2022,30307166,7804095,0,22503071,10763051,6333502,6333502.00,0.00,0.00,0.00,0.00,0.00,7024952.00,0.00,0.00,7024952.00,2736664.00,94884.00,58585.00,2583195.00,7093.00,2682683.00,1175819.00,1506864.00,0.00,0.00,0.00,2357973.00,0.00,0.00,329575.00,0.00,7045841.00,1463666.00,0.00,5582175.00,0.00,6872756.00,4418486.00,560718.00,1893552.00,0.00,35391039.00,0.00,10900462.00
ILLINOIS,2022,583126272,0,0,583126272,0,42949751.77,42949751.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19528344.18,0.00,13423171.64,6105172.54,2687967.00,669428630.29,551955064.16,117473566.13,460000.00,86517605.18,0.00,960811.00,4525886.49,14179515.77,3097093.86,0.00,240204417.17,0.00,0.00,240204417.17,0.00,102377889.89,0.00,102377889.89,0.00,0.00,1186917912.60,0.00,0.00
INDIANA,2022,206116672,61835001.6,0,144281670.4,65137115,13653798.64,13653798.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1420188.03,0.00,1412308.62,7879.41,1634468.19,22395770.11,22395770.11,0.00,0.00,42808137.00,0.00,0.00,0.00,14019080.85,2140182.81,15843733.12,1149976.10,1149976.10,0.00,0.00,19967978.05,21666614.34,18240697.35,0.00,3425916.99,50472606.00,207172533.23,16283412.43,113987750.51
IOWA,2022,130558068,26205412,12962008,91390648,27199174,24263073.33,24263073.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8535851.58,0.00,1525.58,8534326.00,312484.14,15316303.24,15316303.24,0.00,0.00,23960757.34,0.00,374473.49,0.00,0.00,1389388.78,12051.19,60191642.32,33162230.99,0.00,27029411.33,0.00,13028710.07,5167765.90,6422379.85,1438564.32,0.00,147384735.48,0.00,45530229.02
KANSAS,2022,101477697,0,10147768,91329929,62254152,10330819.1,10330819.10,0.00,29017168.06,29017168.06,0.00,0.00,306596.45,306596.45,0.00,0.00,762251.13,0.00,436966.59,325284.54,1504093.66,28356304.00,6673024.00,21683280.00,0.00,34996238.00,0.00,1000.00,4139981.95,14147442.31,0.00,2368190.97,3207589.97,3207589.97,0.00,0.00,6097884.73,14048714.84,8250295.76,4354754.20,1443664.88,0.00,149284275.17,3166705.54,64594144.00
KENTUCKY,2022,180689420,0,0,180689420,71791417,162612845.5,27374037.65,135238807.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19682094.62,6117394.37,120775.11,13443925.14,0.00,19664086.86,19664086.86,0.00,0.00,0.00,0.00,0.00,2699943.50,0.00,0.00,429029.92,0.00,0.00,0.00,0.00,0.00,13029705.37,11343113.34,0.00,1686592.03,0.00,218117705.75,0.00,107945898.05
LOUISIANA,2022,163430877,0,16343088,147087789,71545801,20772332,20772332.00,0.00,0.00,0.00,0.00,0.00,7658378.00,0.00,0.00,7658378.00,66355663.00,0.00,66355663.00,0.00,2062710.00,55872861.00,0.00,55872861.00,0.00,19414756.00,0.00,881251.00,5545056.00,808500.00,0.00,1231271.00,35102274.00,661653.00,0.00,34440621.00,2589369.00,21697164.00,17466573.00,2419722.00,1810869.00,0.00,239991585.00,63252435.00,0.00
MAINE,2022,77863090,0,7786309,70076781,102042772.5,37401817.39,37401817.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11325100.81,0.00,1062851.31,10262249.50,2059386.87,7341518.35,6797563.93,543954.42,0.00,22731405.05,1099730.00,16071764.67,3108107.47,12818968.94,0.00,0.00,13190500.36,5274963.25,0.00,7915537.11,0.00,7925226.92,4999513.01,2469022.66,456691.25,0.00,135073526.81,13181427.29,89115223.46
MARYLAND,2022,255543913,0,22834200,205507808,15826856,74446930,47619203.00,26827727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27834571.00,7842151.00,2338096.00,17654324.00,3221901.00,80742680.00,5862133.00,74880547.00,0.00,284745585.00,0.00,52090973.00,0.00,0.00,0.00,1159847.00,48246879.00,40158859.00,0.00,8088020.00,1083604.00,41052638.00,15970826.00,21667548.00,3414264.00,0.00,614625608.00,0.00,54408842.00
MASSACHUSETTS,2022,512398524,91570224,45785519,320499448,0,296818405,296818405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151875880.00,0.00,143300540.00,8575340.00,8754408.00,267043565.00,267043565.00,0.00,0.00,164619422.00,0.00,66208520.00,23539524.00,0.00,9988534.00,0.00,10435930.00,10435930.00,0.00,0.00,0.00,41441341.00,41441341.00,0.00,0.00,0.00,1040725529.00,0.00,0.00
