state,fiscal_year,funds_awarded,ccdf_discretionary,ssbg_block_grant,adjusted_award,carryover,basic_assistance,basic_assistance_no_subsidies,basic_assistance_subsidies,other_assistance,other_assistance_foster,other_assistance_juvenile_justice,other_assistance_emergency,non_assistance,non_assistance_welfare_foster,non_assistance_juvenile_justice,non_assistance_emergency,work_ed,work_ed_subsidized_emp,work_ed_training,work_ed_other,work_supports,early_ed,early_ed_childcare,early_ed_prek,financial_ed,eitc_refundable,non_eitc_refundable,short_term_benefits,support__services,children_youth_services,pregnancy_prevention,fatherhood_programs,child_welfare,child_welfare_family,child_welfare_adoption,child_welfare_other,home_visiting,program_mgmt,program_mgmt_admin,program_mgmt_assessment,program_mgmt_systems,other,total_expenditures,fed_unliquidated,unobligated_balance
U.S. TOTAL,2022.00,16834221543.00,976162280.10,1136038280.00,14114020983.00,7549597278.00,7223024601.00,6691691775.00,531332826.10,659146924.10,381194931.90,15580749.25,262371243.00,646770422.00,527854149.60,48888064.00,70028208.39,2525813210.00,168019171.70,1016651202.00,1341142836.00,385048928.00,7120410517.00,3874418751.00,3245991766.00,2803316.56,2013635328.00,611639509.90,821958320.80,444504350.10,977385891.50,208961071.60,126604274.70,1890684314.00,942415317.90,41191675.91,907077320.60,151233850.70,3246197403.00,2037118839.00,975522215.70,233556347.70,174622858.60,29230445092.00,2501939748.00,6452791083.00
ALABAMA,2022.00,104087028.00,18601452.00,9300726.00,65105089.00,113337619.00,12846098.00,12846098.00,0.00,3871573.00,0.00,0.00,3871573.00,0.00,0.00,0.00,0.00,5211645.00,3049387.00,142398.00,2019860.00,1765123.00,44307605.00,6270067.00,38037538.00,0.00,0.00,0.00,46098645.00,416623.00,2101069.00,771841.00,4031284.00,22955401.00,0.00,0.00,22955401.00,1480081.00,22810495.00,6909089.00,15057226.00,844180.00,0.00,168667483.00,0.00,122706497.00
ALASKA,2022.00,44397466.00,8879493.00,4439746.00,31078227.00,22434168.56,31798737.25,31798737.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8749041.87,793485.89,56512.66,7899043.33,47731.71,3544811.00,3544811.00,0.00,0.00,0.00,0.00,333644.90,60.00,8283252.00,319652.22,0.00,0.00,0.00,0.00,0.00,0.00,6970174.31,6094556.19,0.00,875618.13,0.00,60047105.27,25302476.00,548810.21
ARIZONA,2022.00,223162288.00,0.00,19940731.00,179466582.00,52909932.00,35875329.00,14328966.00,21546363.00,10125086.00,10125086.00,0.00,0.00,0.00,0.00,0.00,0.00,583193.00,0.00,224399.00,358794.00,7798353.00,0.00,0.00,0.00,0.00,0.00,0.00,6273282.00,7155976.00,0.00,0.00,0.00,269388524.00,134317137.00,22560632.00,112510755.00,0.00,25812326.00,14054054.00,8118027.00,3640245.00,0.00,363012069.00,0.00,60367049.00
ARKANSAS,2022.00,63281802.00,0.00,0.00,56545640.00,120816530.00,3296711.50,3296711.50,0.00,0.00,0.00,0.00,0.00,3911035.23,0.00,0.00,3911035.23,18101925.07,380915.31,11083326.43,6637683.34,117436.82,37932000.00,0.00,37932000.00,0.00,0.00,0.00,1373856.52,556362.49,7053464.46,2390738.42,11749682.89,4352785.40,4228414.11,0.00,124371.29,0.00,25191389.81,17689809.50,2399943.12,5101637.21,0.00,116027388.60,36722295.36,65890269.38
CALIFORNIA,2022.00,3634264666.00,0.00,354741279.00,3279523387.00,544052693.00,2877765725.00,2719094006.00,158671718.70,244359540.00,0.00,0.00,244359540.00,0.00,0.00,0.00,0.00,1038053250.00,35667951.09,457408031.70,544977267.30,186525212.40,961176629.70,961176629.70,0.00,12354.34,0.00,0.00,374086.15,113755017.10,459244.93,20339731.49,2048243.65,0.00,0.00,0.00,0.00,47064409.00,908105069.80,649668531.70,192478931.10,65957607.05,0.00,6400038513.00,755209442.70,0.00
COLORADO,2022.00,151762363.00,1236265.14,152729.65,134218708.20,100115820.00,61445929.04,61445929.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5883100.87,844239.62,2843854.96,2195006.30,13893442.16,99763735.74,13786705.74,85977030.00,27647.89,65760271.00,5118908.00,5200697.22,3360312.84,786498.94,758612.85,716330.98,43052532.64,21201872.62,0.00,21850660.04,383081.34,90379276.02,33361781.49,37621786.31,19395708.23,0.00,396530377.60,0.00,107854245.20
CONNECTICUT,2022.00,265907706.00,26678810.00,0.00,239228896.00,0.00,24459923.86,24459923.86,0.00,0.00,0.00,0.00,0.00,17198898.20,0.00,0.00,17198898.20,10629569.94,0.00,10629569.94,0.00,0.00,144306797.60,58614845.20,85691952.40,0.00,76160939.54,0.00,0.00,19510070.03,0.00,37480553.25,16783020.31,75329602.29,75329602.29,0.00,0.00,0.00,103886656.70,35256825.36,57500601.16,11129230.14,0.00,525746031.70,0.00,0.00
DELAWARE,2022.00,36018484.00,0.00,0.00,32184421.00,44882606.00,7162661.18,7162661.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40039535.35,32215651.58,6933783.77,890100.00,0.00,56020812.40,56020812.40,0.00,0.00,0.00,0.00,1728277.67,33300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44306622.24,3222910.81,40268998.94,814712.49,0.00,149291208.80,0.00,20197391.16
DIST.OF COLUMBIA,2022.00,103300207.00,0.00,3922929.00,88381274.00,14853534.75,172834810.10,172834810.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33430634.84,0.00,0.00,33430634.84,0.00,40376358.13,22169365.00,18206993.13,0.00,18378227.28,0.00,14450946.28,1139715.19,0.00,219884.10,0.00,0.00,0.00,0.00,0.00,0.00,16886970.68,10905693.27,5124316.98,856960.43,0.00,297717546.60,3472949.00,31615829.54
